,RD0175,RD0176,RD0177,RD0178,RD0179,RD0180,RD0184,RD0185,RD0186
ENSMUST00000178006,0,0,0,0,0,0,0,0,0
ENSMUST00000049941,0,0,0,0,0,0,0,0,0
ENSMUST00000019986,12,1,4,0,6,0,6,9,2
ENSMUST00000098180,0,0,0,0,0,0,0,0,0
ENSMUST00000108097,0,0,0,0,0,0,0,0,0
ENSMUST00000020719,8,9,14,7,8,5,5,10,2
ENSMUST00000097522,0,0,0,0,0,0,0,0,0
ENSMUST00000219803,0,0,0,0,0,0,0,0,0
ENSMUST00000040481,0,0,0,0,0,0,0,0,0
ENSMUST00000080859,37,65,56,27,25,28,28,38,18
ENSMUST00000102897,0,0,0,0,0,0,0,0,0
ENSMUST00000079824,0,0,0,0,0,0,2,0,0
ENSMUST00000036181,0,0,0,0,0,0,0,0,0
ENSMUST00000056045,0,0,1,1,0,0,0,0,0
ENSMUST00000014597,0,0,0,0,0,0,0,0,0
ENSMUST00000024696,0,0,0,0,0,0,0,0,0
ENSMUST00000097739,23,37,33,6,14,4,6,4,7
ENSMUST00000153941,0,0,0,0,0,0,0,0,0
ENSMUST00000107734,20,9,0,0,0,0,0,0,0
ENSMUST00000189711,0,0,0,0,0,0,0,0,0
ENSMUST00000207881,0,0,0,0,0,0,0,0,0
ENSMUST00000184502,0,0,0,0,0,0,0,0,0
ENSMUST00000062069,0,0,0,0,0,6,5,0,0
ENSMUST00000085989,1,0,0,0,0,0,0,0,0
ENSMUST00000098909,0,0,0,0,0,0,0,0,0
ENSMUST00000145701,0,0,0,0,0,0,0,0,0
ENSMUST00000099278,0,5,4,3,0,1,1,0,1
ENSMUST00000008582,0,0,0,0,0,0,0,0,0
ENSMUST00000080919,0,1,0,3,4,1,3,0,0
ENSMUST00000179917,0,0,0,1,1,0,0,0,0
ENSMUST00000055673,0,0,0,0,0,0,0,0,0
ENSMUST00000044019,0,5,5,3,0,5,7,2,0
ENSMUST00000116412,0,0,0,0,0,0,0,0,0
